page	ligne	col	lu	corrige	vedette lue	vedette retenue
362	38	4	o	c	manuo	sanuc
364	2	0	g	s	gmrSrito	smrSrito
364	22	1	m	a	smrjino	sarjino
364	25	4	o	c	sarko	sarkc
365	23	4	h	b	marsho	marsbo
366	8	1	m	e	gmrtro	gertro
366	11	1	m	e	gmrvelo	gervelo
366	14	2	s	e	gmso	gmeo
366	29	3	h	b	sashino	sasbino
366	43	0	s	a	saskarono	aaskarono
366	47	0	s	a	smskulo	amskulo
367	2	4	o	c	masto	mastc
367	23	3	o	c	mato	matc
367	26	3	a	e	matadoro	matedoro
368	23	1	m	a	smxilo	saxilo
368	28	1	m	a	smxim	saxim
368	33	1	m	a	smyoliko	sayoliko
368	35	3	c	o	saycnezo	sayonezo
369	52	3	i	L	medikamento	medLkamento
370	5	0	g	n	gmdiumo	nmdiumo
370	8	1	m	e	smdulo	sedulo
370	13	1	m	e	smduzo	seduzo
370	23	1	m	e	smgafono	segafono
370	29	5	p	n	segasporo	segasnoro
370	41	1	m	e	smkaniko	sekaniko
370	50	0	s	m	sekanomoifoso	mekanomoifoso
371	9	0	s	m	seleo	meleo
371	15	0	s	m	seliso	meliso
372	13	2	s	a	smsorando	smaorando
372	28	1	m	e	smncicnar	sencicnar
372	34	1	m	e	smnhiro	senhiro
373	2	4	o	c	mento	mentc
373	22	0	s	m	senueto	menusto
373	22	4	e	s	senueto	menusto
373	43	5	o	c	merino	merinc
374	2	0	u	s	umrizo	smrizo
374	21	4	a	s	gmrlano	gmrlsno
374	31	1	m	e	smromorfa	seromorfa
374	38	2	s	a	seso	seao
375	30	3	o	a	metogeometrio	metageometrio
376	17	0	g	s	gmtatezo	smtatezo
376	36	5	e	s	smtileno	smtilsno
376	44	1	e	s	setodologio	sstodologio
376	48	0	s	m	setonimio	metonimio
377	4	4	o	8	metro	metr8
377	21	7	l	i	metropolo	metropoio
377	30	2	a	z	meao	mezE
377	30	3	o	E	meao	mezE
377	36	2	a	z	meaereono	mezereono
